ID,file,url,path,extension,status,size,initDown,termDown,baixado
11,Nota_Metodologica_Populacao_mensal_dias_1_e_15.pdf,ftp://ftp.ibge.gov.br/Projecao_da_Populacao/Projecao_da_Populacao_2018/Nota_Metodologica_Populacao_mensal_dias_1_e_15.pdf,/Projecao_da_Populacao/Projecao_da_Populacao_2018/Nota_Metodologica_Populacao_mensal_dias_1_e_15.pdf,.pdf,TRUE,NA,1561663487.8739743,1561663507.9741821,TRUE
12,Populacoes_Projetadas_Mensais_dia_01_ate_2030.xlsx,ftp://ftp.ibge.gov.br/Projecao_da_Populacao/Projecao_da_Populacao_2018/Populacoes_Projetadas_Mensais_dia_01_ate_2030.xlsx,/Projecao_da_Populacao/Projecao_da_Populacao_2018/Populacoes_Projetadas_Mensais_dia_01_ate_2030.xlsx,.xlsx,TRUE,NA,1561663507.974815,1561663517.4071186,TRUE
13,Populacoes_Projetadas_Mensais_dia_15_ate_2030.xlsx,ftp://ftp.ibge.gov.br/Projecao_da_Populacao/Projecao_da_Populacao_2018/Populacoes_Projetadas_Mensais_dia_15_ate_2030.xlsx,/Projecao_da_Populacao/Projecao_da_Populacao_2018/Populacoes_Projetadas_Mensais_dia_15_ate_2030.xlsx,.xlsx,TRUE,NA,1561663517.4073148,1561663525.2713406,TRUE
14,projecoes_2018_indicadores.ods,ftp://ftp.ibge.gov.br/Projecao_da_Populacao/Projecao_da_Populacao_2018/projecoes_2018_indicadores.ods,/Projecao_da_Populacao/Projecao_da_Populacao_2018/projecoes_2018_indicadores.ods,.ods,TRUE,NA,1561663525.271614,1561663539.91335,TRUE
15,projecoes_2018_indicadores.xls,ftp://ftp.ibge.gov.br/Projecao_da_Populacao/Projecao_da_Populacao_2018/projecoes_2018_indicadores.xls,/Projecao_da_Populacao/Projecao_da_Populacao_2018/projecoes_2018_indicadores.xls,.xls,TRUE,NA,1561663539.9135752,1561663547.207558,TRUE
16,projecoes_2018_populacao_2010_2060.ods,ftp://ftp.ibge.gov.br/Projecao_da_Populacao/Projecao_da_Populacao_2018/projecoes_2018_populacao_2010_2060.ods,/Projecao_da_Populacao/Projecao_da_Populacao_2018/projecoes_2018_populacao_2010_2060.ods,.ods,TRUE,NA,1561663547.2078252,1561663558.5238817,TRUE
17,projecoes_2018_populacao_2010_2060.xls,ftp://ftp.ibge.gov.br/Projecao_da_Populacao/Projecao_da_Populacao_2018/projecoes_2018_populacao_2010_2060.xls,/Projecao_da_Populacao/Projecao_da_Populacao_2018/projecoes_2018_populacao_2010_2060.xls,.xls,TRUE,NA,1561663558.5244703,1561663572.2621574,TRUE
18,Tabuas_Mortalidade%202010-2060.ods,ftp://ftp.ibge.gov.br/Projecao_da_Populacao/Projecao_da_Populacao_2018/Tabuas_Mortalidade%202010-2060.ods,/Projecao_da_Populacao/Projecao_da_Populacao_2018/Tabuas_Mortalidade%202010-2060.ods,.ods,TRUE,NA,1561663572.262661,1561663601.815003,TRUE
19,Tabuas_Mortalidade%202010-2060.xls,ftp://ftp.ibge.gov.br/Projecao_da_Populacao/Projecao_da_Populacao_2018/Tabuas_Mortalidade%202010-2060.xls,/Projecao_da_Populacao/Projecao_da_Populacao_2018/Tabuas_Mortalidade%202010-2060.xls,.xls,TRUE,NA,1561663601.8151753,1561663614.4027057,TRUE
20,indice_de_tabelas_empreendedorismo_2015.txt,ftp://ftp.ibge.gov.br/Estatisticas_de_Empreendedorismo/2015/xls/indice_de_tabelas_empreendedorismo_2015.txt,/Estatisticas_de_Empreendedorismo/2015/xls/indice_de_tabelas_empreendedorismo_2015.txt,.txt,TRUE,NA,1561663614.4028792,1561663616.4290879,TRUE
