"Tabela 793 - População residente"
"Variável - População residente (Pessoas)"
"Nível","Cód.","Município","Ano"
"MU","1507953","Tailândia (PA)","64281"
"MU","1507961","Terra Alta (PA)","9861"
"MU","1507979","Terra Santa (PA)","15316"
"MU","1508001","Tomé-Açu (PA)","47081"
"MU","1508035","Tracuateua (PA)","26129"
"MU","1508050","Trairão (PA)","16097"
"MU","1508084","Tucumã (PA)","26513"
"MU","1508100","Tucuruí (PA)","89264"
"MU","1508126","Ulianópolis (PA)","31881"
"MU","1508159","Uruará (PA)","35076"
"MU","1508209","Vigia (PA)","43847"
"MU","1508308","Viseu (PA)","53217"
"MU","1508357","Vitória do Xingu (PA)","9693"
"MU","1508407","Xinguara (PA)","38457"
"MU","1600055","Serra do Navio (AP)","3772"
"MU","1600105","Amapá (AP)","7492"
"MU","1600154","Pedra Branca do Amapari (AP)","7332"
"MU","1600204","Calçoene (AP)","8656"
"MU","1600212","Cutias (AP)","4320"
"MU","1600238","Ferreira Gomes (AP)","5040"
"MU","1600253","Itaubal (AP)","3439"
"MU","1600279","Laranjal do Jari (AP)","37491"
"MU","1600303","Macapá (AP)","344153"
"MU","1600402","Mazagão (AP)","13862"
"MU","1600501","Oiapoque (AP)","19181"
"MU","1600535","Porto Grande (AP)","13962"
"MU","1600550","Pracuúba (AP)","3353"
"MU","1600600","Santana (AP)","92098"
"MU","1600709","Tartarugalzinho (AP)","12395"
"MU","1600808","Vitória do Jari (AP)","10765"
"MU","1700251","Abreulândia (TO)","2245"
"MU","1700301","Aguiarnópolis (TO)","3995"
"MU","1700350","Aliança do Tocantins (TO)","5701"
"MU","1700400","Almas (TO)","7488"
"MU","1700707","Alvorada (TO)","7976"
"MU","1701002","Ananás (TO)","9358"
"MU","1701051","Angico (TO)","3169"
"MU","1701101","Aparecida do Rio Negro (TO)","4018"
"MU","1701309","Aragominas (TO)","5469"
"MU","1701903","Araguacema (TO)","5423"
"MU","1702000","Araguaçu (TO)","8989"
"MU","1702109","Araguaína (TO)","115759"
"MU","1702158","Araguanã (TO)","5000"
"MU","1702208","Araguatins (TO)","25973"
"MU","1702307","Arapoema (TO)","6839"
"MU","1702406","Arraias (TO)","10626"
"MU","1702554","Augustinópolis (TO)","14800"
"MU","1702703","Aurora do Tocantins (TO)","3385"
"MU","1702901","Axixá do Tocantins (TO)","8917"
"MU","1703008","Babaçulândia (TO)","10372"
"MU","1703057","Bandeirantes do Tocantins (TO)","2711"
"MU","1703073","Barra do Ouro (TO)","3581"
"MU","1703107","Barrolândia (TO)","5155"
"MU","1703206","Bernardo Sayão (TO)","4518"
"MU","1703305","Bom Jesus do Tocantins (TO)","2710"
"MU","1703602","Brasilândia do Tocantins (TO)","2119"
"MU","1703701","Brejinho de Nazaré (TO)","5295"
"MU","1703800","Buriti do Tocantins (TO)","8164"
"MU","1703826","Cachoeirinha (TO)","2171"
"MU","1703842","Campos Lindos (TO)","7615"
"MU","1703867","Cariri do Tocantins (TO)","3562"
"MU","1703883","Carmolândia (TO)","2313"
"MU","1703891","Carrasco Bonito (TO)","3314"
"MU","1703909","Caseara (TO)","4667"
"MU","1704105","Centenário (TO)","2386"
"MU","1704600","Chapada de Areia (TO)","1239"
"MU","1705102","Chapada da Natividade (TO)","3680"
"MU","1705508","Colinas do Tocantins (TO)","29298"
"MU","1705557","Combinado (TO)","4878"
"MU","1705607","Conceição do Tocantins (TO)","4402"
"MU","1706001","Couto Magalhães (TO)","4887"
"MU","1706100","Cristalândia (TO)","6520"
"MU","1706258","Crixás do Tocantins (TO)","1264"
"MU","1706506","Darcinópolis (TO)","5130"
"MU","1707009","Dianópolis (TO)","18584"
"MU","1707108","Divinópolis do Tocantins (TO)","6359"
"MU","1707207","Dois Irmãos do Tocantins (TO)","7060"
"MU","1707306","Dueré (TO)","4489"
"MU","1707405","Esperantina (TO)","8134"
"MU","1707553","Fátima (TO)","3984"
"MU","1707652","Figueirópolis (TO)","4820"
"MU","1707702","Filadélfia (TO)","7787"
"MU","1708205","Formoso do Araguaia (TO)","18225"
"MU","1708254","Fortaleza do Tabocão (TO)","2101"
"MU","1708304","Goianorte (TO)","5221"
"MU","1709005","Goiatins (TO)","11639"
"MU","1709302","Guaraí (TO)","21669"
"MU","1709500","Gurupi (TO)","71413"
"MU","1709807","Ipueiras (TO)","1698"
"MU","1710508","Itacajá (TO)","6386"
"MU","1710706","Itaguatins (TO)","6074"
"MU","1710904","Itapiratins (TO)","3421"
"MU","1711100","Itaporã do Tocantins (TO)","2989"
"MU","1711506","Jaú do Tocantins (TO)","3789"
"MU","1711803","Juarina (TO)","2141"
"MU","1711902","Lagoa da Confusão (TO)","8220"
"MU","1711951","Lagoa do Tocantins (TO)","3179"
"MU","1712009","Lajeado (TO)","2159"
"MU","1712157","Lavandeira (TO)","1590"
"MU","1712405","Lizarda (TO)","3634"
"MU","1712454","Luzinópolis (TO)","2784"
"MU","1712504","Marianópolis do Tocantins (TO)","4473"
"MU","1712702","Mateiros (TO)","1737"
"MU","1712801","Maurilândia do Tocantins (TO)","3185"
"MU","1713205","Miracema do Tocantins (TO)","19683"
"MU","1713304","Miranorte (TO)","11858"
"MU","1713601","Monte do Carmo (TO)","6387"
"MU","1713700","Monte Santo do Tocantins (TO)","1858"
"MU","1713809","Palmeiras do Tocantins (TO)","4542"
"MU","1713957","Muricilândia (TO)","2850"
"MU","1714203","Natividade (TO)","9090"
"MU","1714302","Nazaré (TO)","4528"
"MU","1714880","Nova Olinda (TO)","10518"
"MU","1715002","Nova Rosalândia (TO)","3772"
"MU","1715101","Novo Acordo (TO)","3754"
"MU","1715150","Novo Alegre (TO)","1801"
"MU","1715259","Novo Jardim (TO)","2419"
"MU","1715507","Oliveira de Fátima (TO)","1081"
"MU","1715705","Palmeirante (TO)","4689"
"MU","1715754","Palmeirópolis (TO)","8120"
"MU","1716109","Paraíso do Tocantins (TO)","40290"
"MU","1716208","Paranã (TO)","10491"
"MU","1716307","Pau D'Arco (TO)","4767"
"MU","1716505","Pedro Afonso (TO)","10294"
"MU","1716604","Peixe (TO)","8750"
"MU","1716653","Pequizeiro (TO)","4799"
"MU","1716703","Colméia (TO)","8759"
"MU","1717008","Pindorama do Tocantins (TO)","4397"
"MU","1717206","Piraquê (TO)","3014"
"MU","1717503","Pium (TO)","6403"
"MU","1717800","Ponte Alta do Bom Jesus (TO)","4529"
"MU","1717909","Ponte Alta do Tocantins (TO)","6569"
"MU","1718006","Porto Alegre do Tocantins (TO)","2830"
"MU","1718204","Porto Nacional (TO)","45289"
"MU","1718303","Praia Norte (TO)","7060"
"MU","1718402","Presidente Kennedy (TO)","3680"
"MU","1718451","Pugmil (TO)","2165"
"MU","1718501","Recursolândia (TO)","3665"
"MU","1718550","Riachinho (TO)","3691"
"MU","1718659","Rio da Conceição (TO)","1454"
"MU","1718709","Rio dos Bois (TO)","2092"
"MU","1718758","Rio Sono (TO)","6167"
"MU","1718808","Sampaio (TO)","3672"
"MU","1718840","Sandolândia (TO)","3443"
"MU","1718865","Santa Fé do Araguaia (TO)","5610"
"MU","1718881","Santa Maria do Tocantins (TO)","2673"
"MU","1718899","Santa Rita do Tocantins (TO)","2260"
"MU","1718907","Santa Rosa do Tocantins (TO)","4417"
"MU","1719004","Santa Tereza do Tocantins (TO)","2297"
"MU","1720002","Santa Terezinha do Tocantins (TO)","2291"
"MU","1720101","São Bento do Tocantins (TO)","4447"
"MU","1720150","São Félix do Tocantins (TO)","1409"
"MU","1720200","São Miguel do Tocantins (TO)","10221"
"MU","1720259","São Salvador do Tocantins (TO)","3012"
"MU","1720309","São Sebastião do Tocantins (TO)","4244"
"MU","1720499","São Valério (TO)","4885"
"MU","1720655","Silvanópolis (TO)","5098"
"MU","1720804","Sítio Novo do Tocantins (TO)","9302"
"MU","1720853","Sucupira (TO)","1667"
"MU","1720903","Taguatinga (TO)","14110"
"MU","1720937","Taipas do Tocantins (TO)","1916"
"MU","1720978","Talismã (TO)","2555"
"MU","1721000","Palmas (TO)","178386"
"MU","1721109","Tocantínia (TO)","6663"
"MU","1721208","Tocantinópolis (TO)","21334"
"MU","1721257","Tupirama (TO)","1405"
"MU","1721307","Tupiratins (TO)","2007"
"MU","1722081","Wanderlândia (TO)","9317"
"MU","1722107","Xambioá (TO)","10856"
"MU","2100055","Açailândia (MA)","97034"
"MU","2100105","Afonso Cunha (MA)","5651"
"MU","2100154","Água Doce do Maranhão (MA)","11829"
"MU","2100204","Alcântara (MA)","21349"
"MU","2100303","Aldeias Altas (MA)","21645"
"MU","2100402","Altamira do Maranhão (MA)","7365"
"MU","2100436","Alto Alegre do Maranhão (MA)","22002"
"MU","2100477","Alto Alegre do Pindaré (MA)","31992"
"MU","2100501","Alto Parnaíba (MA)","10304"
"MU","2100550","Amapá do Maranhão (MA)","6168"
"MU","2100600","Amarante do Maranhão (MA)","35727"
"MU","2100709","Anajatuba (MA)","23941"
"MU","2100808","Anapurus (MA)","12580"
"MU","2100832","Apicum-Açu (MA)","13216"
"MU","2100873","Araguanã (MA)","9918"
"MU","2100907","Araioses (MA)","37655"
"MU","2100956","Arame (MA)","27229"
"MU","2101004","Arari (MA)","27753"
"MU","2101103","Axixá (MA)","14249"
"MU","2101202","Bacabal (MA)","95124"
"MU","2101251","Bacabeira (MA)","14611"
"MU","2101301","Bacuri (MA)","16026"
"MU","2101350","Bacurituba (MA)","5425"
"MU","2101400","Balsas (MA)","78845"
"MU","2101509","Barão de Grajaú (MA)","16565"
"MU","2101608","Barra do Corda (MA)","78718"
"MU","2101707","Barreirinhas (MA)","47850"
"MU","2101731","Belágua (MA)","5717"
"MU","2101772","Bela Vista do Maranhão (MA)","8603"
"MU","2101806","Benedito Leite (MA)","5387"
"MU","2101905","Bequimão (MA)","20735"
"MU","2101939","Bernardo do Mearim (MA)","5972"
"MU","2101970","Boa Vista do Gurupi (MA)","7385"
"MU","2102002","Bom Jardim (MA)","37659"
"MU","2102036","Bom Jesus das Selvas (MA)","23827"
"MU","2102077","Bom Lugar (MA)","12825"
"MU","2102101","Brejo (MA)","31049"
"MU","2102150","Brejo de Areia (MA)","5803"
"MU","2102200","Buriti (MA)","25274"
"MU","2102309","Buriti Bravo (MA)","22279"
"MU","2102325","Buriticupu (MA)","61480"
"MU","2102358","Buritirana (MA)","12596"
"MU","2102374","Cachoeira Grande (MA)","8831"
"MU","2102408","Cajapió (MA)","9982"
"MU","2102507","Cajari (MA)","12842"
